DeployID,Ptt,DepthSensor,Source,Instr,Day,Time,LocationQuality,Latitude,Longitude,Depth,DRange,Temperature,TRange,Activity,ARange
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,09:20:00,,,,56.5,1.75,19.0,0.05,28,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,09:30:00,,,,59.0,1.75,19.0,0.05,28,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,09:40:00,,,,58.0,1.50,19.0,0.05,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,09:50:00,,,,58.0,1.50,19.0,0.05,28,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,10:00:00,,,,59.0,1.75,19.0,0.05,20,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,10:10:00,,,,61.0,2.75,19.0,0.05,36,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,10:20:00,,,,58.0,1.50,19.0,0.05,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,10:30:00,,,,56.5,1.75,19.0,0.05,36,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,10:40:00,,,,59.0,1.75,19.0,0.05,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,10:50:00,,,,59.0,1.75,19.0,0.05,20,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,11:00:00,,,,61.0,2.75,19.0,0.05,28,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,11:10:00,,,,63.5,2.75,19.0,0.05,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,11:20:00,,,,61.0,2.75,19.0,0.05,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,11:30:00,,,,61.0,2.75,19.0,0.05,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,11:40:00,,,,61.0,2.75,19.0,0.05,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,11:50:00,,,,63.5,2.75,19.0,0.05,28,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,12:00:00,,,,63.5,2.75,19.0,0.05,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,12:10:00,,,,63.5,2.75,19.0,0.05,28,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,12:20:00,,,,63.5,2.75,19.0,0.05,44,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,12:30:00,,,,63.5,2.75,19.0,0.05,28,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,12:40:00,,,,63.5,2.75,19.0,0.05,123,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,12:50:00,,,,63.5,2.75,19.0,0.05,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,13:00:00,,,,63.5,2.75,19.0,0.05,4,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,13:10:00,,,,66.5,3.00,19.0,0.05,28,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,13:20:00,,,,63.5,2.75,19.0,0.05,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,13:30:00,,,,63.5,2.75,19.0,0.05,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,13:40:00,,,,61.0,2.75,19.0,0.05,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,13:50:00,,,,61.0,2.75,19.0,0.05,4,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,14:00:00,,,,61.0,2.75,18.9,0.10,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,14:10:00,,,,61.0,2.75,18.9,0.10,20,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,14:20:00,,,,61.0,2.75,18.9,0.10,20,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,14:30:00,,,,61.0,2.75,18.9,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,14:40:00,,,,61.0,2.75,18.9,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,14:50:00,,,,59.0,1.75,18.9,0.10,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,15:00:00,,,,61.0,2.75,18.9,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,15:10:00,,,,63.5,2.75,18.9,0.10,28,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,15:20:00,,,,61.0,2.75,18.9,0.10,20,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,15:30:00,,,,63.5,2.75,18.9,0.10,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,15:40:00,,,,61.0,2.75,18.9,0.10,12,4
227151,227151,0.500000,Transmission,MiniPAT,14-Jun-2022,15:50:00,,,,61.0,2.75,18.9,0.10,12,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,00:00:00,,,,79.0,6.50,19.1,0.10,50,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,00:10:00,,,,79.0,6.50,19.1,0.10,43,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,00:20:00,,,,79.0,6.50,19.1,0.10,50,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,00:30:00,,,,79.0,6.50,19.1,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,00:40:00,,,,79.0,6.50,19.1,0.10,30,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,00:50:00,,,,79.0,6.50,19.1,0.10,76,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,01:00:00,,,,79.0,6.50,19.1,0.10,30,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,01:10:00,,,,79.0,6.50,19.1,0.10,30,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,01:20:00,,,,67.0,5.75,19.1,0.10,76,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,01:30:00,,,,67.0,5.75,19.1,0.10,30,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,01:40:00,,,,67.0,5.75,19.1,0.10,30,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,01:50:00,,,,67.0,5.75,19.1,0.10,23,3
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,02:00:00,,,,67.0,5.75,19.1,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,02:10:00,,,,67.0,5.75,19.1,0.10,30,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,02:20:00,,,,67.0,5.75,19.1,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,02:30:00,,,,67.0,5.75,19.1,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,02:40:00,,,,67.0,5.75,19.1,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,02:50:00,,,,67.0,5.75,19.1,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,03:00:00,,,,67.0,5.75,19.1,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,03:10:00,,,,67.0,5.75,19.1,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,03:20:00,,,,56.0,6.00,19.1,0.10,10,3
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,03:30:00,,,,67.0,5.75,19.1,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,03:40:00,,,,67.0,5.75,19.1,0.10,36,3
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,03:50:00,,,,67.0,5.75,19.1,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,04:00:00,,,,67.0,5.75,18.9,0.10,30,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,04:10:00,,,,67.0,5.75,18.9,0.10,17,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,04:20:00,,,,67.0,5.75,18.9,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,04:30:00,,,,67.0,5.75,18.9,0.10,36,3
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,04:40:00,,,,67.0,5.75,19.1,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,04:50:00,,,,67.0,5.75,19.1,0.10,10,3
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,05:00:00,,,,67.0,5.75,18.9,0.10,30,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,05:10:00,,,,67.0,5.75,18.9,0.10,30,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,05:20:00,,,,67.0,5.75,18.9,0.10,10,3
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,05:30:00,,,,67.0,5.75,18.9,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,05:40:00,,,,79.0,6.50,18.9,0.10,17,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,05:50:00,,,,79.0,6.50,18.9,0.10,102,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,06:00:00,,,,79.0,6.50,18.8,0.10,17,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,06:10:00,,,,67.0,5.75,18.8,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,06:20:00,,,,67.0,5.75,18.9,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,06:30:00,,,,79.0,6.50,18.9,0.10,30,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,06:40:00,,,,79.0,6.50,18.9,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,06:50:00,,,,0.5,0.75,19.1,0.10,10,3
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,07:00:00,,,,0.5,0.75,19.1,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,07:10:00,,,,0.5,0.75,19.1,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,07:20:00,,,,0.5,0.75,19.1,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,07:30:00,,,,0.5,0.75,18.9,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,07:40:00,,,,0.5,0.75,19.1,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,07:50:00,,,,0.5,0.75,18.9,0.10,4,4
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,08:00:00,,,,0.5,0.50,19.0,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,08:10:00,,,,0.5,0.50,19.0,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,08:20:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,08:30:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,08:40:00,,,,0.5,0.50,18.9,0.10,4,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,08:50:00,,,,0.5,0.50,18.9,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,09:00:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,09:10:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,09:20:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,09:30:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,09:40:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,09:50:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,10:00:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,10:10:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,10:20:00,,,,0.5,0.50,19.0,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,10:30:00,,,,0.5,0.50,19.0,0.05,2,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,10:40:00,,,,0.5,0.50,19.0,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,10:50:00,,,,0.5,0.50,19.0,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,11:00:00,,,,0.5,0.50,19.0,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,11:10:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,11:20:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,11:30:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,11:40:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,11:50:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,12:00:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,12:10:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,12:20:00,,,,0.5,0.50,19.0,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,12:30:00,,,,0.5,0.50,19.0,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,12:40:00,,,,0.5,0.50,19.0,0.05,1,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,12:50:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,13:00:00,,,,0.5,0.50,19.0,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,13:10:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,13:20:00,,,,0.5,0.50,19.0,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,13:30:00,,,,0.5,0.50,19.0,0.05,1,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,13:40:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,13:50:00,,,,0.5,0.50,19.0,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,14:00:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,14:10:00,,,,0.5,0.50,18.9,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,14:20:00,,,,0.5,0.50,19.0,0.05,7,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,14:30:00,,,,0.5,0.50,18.9,0.10,9,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,14:40:00,,,,0.5,0.50,19.0,0.05,3,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,14:50:00,,,,0.5,0.50,19.0,0.05,5,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,15:00:00,,,,0.5,0.50,19.0,0.05,9,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,15:10:00,,,,0.5,0.50,18.9,0.10,9,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,15:20:00,,,,0.5,0.50,19.0,0.05,9,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,15:30:00,,,,0.5,0.50,19.0,0.05,3,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,15:40:00,,,,0.5,0.50,19.0,0.05,7,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,15:50:00,,,,0.5,0.50,19.0,0.05,5,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,16:00:00,,,,0.5,0.50,19.1,0.10,15,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,16:10:00,,,,0.5,0.50,19.1,0.10,2,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,16:20:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,16:30:00,,,,0.5,0.50,19.1,0.10,2,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,16:40:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,16:50:00,,,,0.5,0.50,19.1,0.10,3,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,17:00:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,17:10:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,17:20:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,17:30:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,17:40:00,,,,0.5,0.50,19.1,0.10,4,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,17:50:00,,,,0.5,0.50,19.1,0.10,5,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,18:00:00,,,,0.5,0.50,19.1,0.10,3,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,18:10:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,18:20:00,,,,0.5,0.50,19.1,0.10,3,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,18:30:00,,,,0.5,0.50,19.1,0.10,2,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,18:40:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,18:50:00,,,,0.5,0.50,19.1,0.10,4,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,19:00:00,,,,0.5,0.50,19.1,0.10,4,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,19:10:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,19:20:00,,,,0.5,0.50,19.1,0.10,4,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,19:30:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,19:40:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,19:50:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,20:00:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,20:10:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,20:20:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,20:30:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,20:40:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,20:50:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,21:00:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,21:10:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,21:20:00,,,,0.5,0.50,18.9,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,21:30:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,21:40:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,21:50:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,22:00:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,22:10:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,22:20:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,22:30:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,22:40:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,22:50:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,23:00:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,23:10:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,23:20:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,23:30:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,23:40:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,15-Jun-2022,23:50:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,00:00:00,,,,0.5,0.50,19.1,0.10,2,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,00:10:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,00:20:00,,,,0.5,0.50,19.1,0.10,2,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,00:30:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,00:40:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,00:50:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,01:00:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,01:10:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,01:20:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,01:30:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,01:40:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,01:50:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,02:00:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,02:10:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,02:20:00,,,,0.5,0.50,19.2,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,02:30:00,,,,0.5,0.50,19.2,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,02:40:00,,,,0.5,0.50,19.2,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,02:50:00,,,,0.5,0.50,19.2,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,03:00:00,,,,0.5,0.50,19.2,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,03:10:00,,,,0.5,0.50,19.2,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,03:20:00,,,,0.5,0.50,19.2,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,03:30:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,03:40:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,03:50:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,04:00:00,,,,0.5,0.50,19.2,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,04:10:00,,,,0.5,0.50,19.2,0.05,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,04:20:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,04:30:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,04:40:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,04:50:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,05:00:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,05:10:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,05:20:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,05:30:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,05:40:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,05:50:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,06:00:00,,,,0.5,0.50,19.1,0.10,2,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,06:10:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,06:20:00,,,,0.5,0.50,19.1,0.10,2,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,06:30:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,06:40:00,,,,0.5,0.50,19.1,0.10,1,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,06:50:00,,,,0.5,0.50,19.1,0.10,0,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,07:00:00,,,,0.5,0.50,19.1,0.10,4,0
227151,227151,0.500000,Transmission,MiniPAT,16-Jun-2022,07:10:00,,,,0.5,0.50,19.2,0.05,0,0
